nome;lat;lng;tipo
Pop Up G Com De Calc E Vest Eireli;-23.572.396;-466.431;verde
Theu Duda Art Esp Ltda Epp;-23.544.202;-46.520.672;verde
Entempo Artigos Esp Ltda Epp;-23.545.075;-46.639.965;verde
H 2 S 4 Confeccao E Calcados Ltda;-23.545.042;-46.640.019;verde
Idn Comercio De A Da Moda Ltda Epp;-235.587;-46.680.201;verde
Leandro Telent Me;-2.365.524;-46.528.075;verde
Edvaldo Pereira Santos;-23.661.394;-4.675.346;verde
Pro Esporte Com De Mat Esp Ltda Me;-23.468.406;-46.530.955;verde
Dkk Calcados E Confeccoes Ltda;-23.475.972;-4.635.273;verde
Comercio De Calc Di Gaspi Ii Ltda;-23.741.068;-46.707.395;verde
Emilia Akemi Hayashi;-23.521.871;-4.619.439;verde
Tremembe Calcados E Bolsas Ltda;-23.458.228;-46.602.441;verde
Ea9 Modas Comercio De Roupas Calcados Ltda;-23.539.591;-4.660.939;verde
Daniella Gasbarro Rapoporte Fernandes Epp | Gh Fernandes Comercio De Roupas | Rn Com Varej Roupas E Aces Eireli | Sneakers Ii Comercio Eireli;-23.529.101;-46.643.954;verde
Kb Sneakers Comercio De Roup E Calc | Rn Com Varej Roupas E Aces Eireli | Sneakers I Comercio Eireli | Vm Sneakers Comercio De Roupas E | Wa Sneakers Comercio De Roupas E;-23.529.853;-46.643.544;verde
Marcos Dias Da Mota;-23.693.193;-46.595.128;verde
Sidney De Farias Trevizan Calc Me;-23.552.043;-46.529.882;verde
Magazine Mundial Ltda;-2.365.457;-46.526.655;verde
Tenisstar Comercio De Calcados Ltda;-23.655.583;-46.527.033;verde
Vitor E Rafael Esp Magazine Ltda;-23.459.781;-46.602.576;verde
Jose Joaquim Da Fonseca Costa Me;-23.494.917;-46.401.294;verde
Magazine Mundial Ltda;-23.470.125;-46.529.441;verde
Danville Com De Cal Ltda Epp;-23.470.125;-46.529.441;verde
Taipas Show Calcados E Bolsas Ltda;-23.435.561;-46.728.449;verde
Jlr Calcados E Bolsas Ltda;-23.469.306;-46.677.028;verde
C A Freitas Pontes Cia Ltda;-23.469.306;-46.677.028;verde
Magazine Mundial Ltda;-23.548.327;-46.635.429;verde
☑️Agenda | H 2 S 4 Confeccao E Calcados Ltda;-2.351.948;-46.695.329;verde
☑️Agenda | H 2 S 4 Confeccao E Calcados Ltda;-23.518.323;-46.695.679;verde
☑️Agenda | H 2 S 4 Confeccao E Calcados Ltda;-23.519.119;-46.695.406;verde
Nbl Magazine E Calcados Eireli;-2.353.669;-46.404.201;verde
Tenisstar Comercio De Calcados Ltda;-23.470.125;-46.529.441;verde
Shoebiz Comercio De Calcados Ltda;-234.701;-46.529.329;verde
Comercio De Calc Di Gaspari Ii Ltda;-23.736.751;-46.693.856;verde
Comercio De Calc Di Gaspari Ii Ltda;-23.755.014;-46.675.722;verde
Kings Sneakers Eireli Epp | SISTER SNEAKERS COMERCIO ELETRONICO DE ROUPAS E CALCADOS LTDAKINGS SNEAKERS COMERCIO ELETRONICO EIRELI - EPP;-23.522.544;-46.644.922;verde
Tenisstar Comercio De Calcados Ltda;-23.526.613;-46.193.955;verde
Pura Onda Art Esp Eireli Epp;-23.499.783;-46.625.142;verde
Fabio Santos De Oliveira 2784017680;-23.733.097;-46.693.813;verde
FMS CALCADOS LTDAIURI RODRIGUES DE MOURA SILVA CALC;-22.733.649;-45.119.167;verde
Magazine Mundial Lt;-23.519.703;-46.704.081;verde
Tenisstar Comercio De Calcados Ltda;-23.520.735;-46.704.563;verde
Shoebiz Comercio De Calcados Ltda;-23.520.003;-46.703.936;verde
D T Shakruka Epp;-23.520.632;-46.704.483;verde
Over Lapa Art Esp Ltda;-23.521.662;-46.704.793;verde
Dr Cesar Calcados E Bolsas Ltda;-23.521.662;-46.704.793;verde
Limao Calcados E Bolsas Ltda Me;-23.503.534;-46.672.266;verde
Perus Calc E Bolsas Ltda;-2.340.686;-46.756.663;verde
☑️Agenda | Kallan Calcados Ltda;-23.609.956;-46.476.108;verde
Gaspari Com De Calc Ltda;-236.606.067.017.146;-467.674.861.521.621;verde
Dkk Calcados E Confeccoes Ltda;-23.539.924.978.956;-46.310.160.546.577;verde
Dib S Modas Ltda;-235.373.175.826.268;-463.094.597.465.771;verde
Esporte Bretao Artigos Esportivos L | Gh Artigos Esportivos Ltda Epp;-236.467.530.479.281;-467.290.943.591.286;verde
Taka Taka Calcados Ltda;-234.846.641.518.347;-466.915.936.114.955;verde
Marcelo Guerra Rodrigues Calcados;-23.473.729.858.427;-466.684.245.556.635;verde
Eurico Web Calcados Ltda Epp;-236.056.568.093.549;-466.636.693.439.753;verde
Shoebiz Comercio De Calcados Ltda;-236.583.746.958.177;-467.058.141.921.977;verde
Fast Shoes Calc E Art Esp Ltda;-236.583.746.958.177;-467.058.141.921.977;verde
Tenisstar Comercio De Calcados Ltda;-236.522.344.586.402;-467.059.692.826.493;verde
Lideranca Calcados E Bolsas Ltda;-235.403.139.179.036;-464.915.949.666.828;verde
Sirun Modas Ltda;-234.920.961.780.326;-46.444.885.575.461;verde
Leandro Aparecido Sousa De Freitas;-236.093.008.948.128;-46.453.317.422.745;verde
Tenisstar Comercio De Calcados Ltda;-237.083.580.967.324;-465.510.515.774.527;verde
Magazine Mundial Lt;-237.087.385.888.094;-465.507.941.042.436;verde
Shoebiz Comercio De Calcados Ltda;-237.095.788.944.062;-465.508.774.951.481;verde
A Elite De S Bernardo M E Bij Ltda;-237.103.895.610.102;-465.508.151.330.794;verde
Luiz Felipe De Souza Jorge Me;-234.967.375.845.902;-464.011.553.423.909;verde
Malas Ciac Ltda;-235.390.471.835.347;-466.160.233.829.115;verde
SPORT BRAS S B COMERCIO LTDA;-235.368.743.858.103;-466.164.920.878.479;verde
Son Bh Comercio Varejista Ltda;-235.186.699.067.654;-466.752.281.103.656;verde
